car cp
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
asymetric_50;0.999;0.888;0.954;0.998;0.999;1.000
asymetric_200;1.000;0.970;1.000;0.999;1.000;0.995
asymetric_1000;0.999;0.959;0.997;0.999;1.000;1.000
random;1.000;0.854;0.925;0.992;1.000;0.996
random_scaled_1_5;0.996;0.946;0.988;0.991;0.991;0.996
random_scaled_1_20;0.997;0.993;0.966;0.991;0.997;0.997
random_scaled_1_100;0.998;1.000;1.000;0.992;0.987;0.987
random_gain;0.995;0.903;0.964;0.994;0.996;0.994
random_gain_scaled_1_5;0.998;0.904;0.963;0.997;0.998;0.999
random_gain_scaled_1_20;0.994;0.899;0.951;0.999;0.994;0.994
random_gain_scaled_1_100;0.992;0.904;0.963;0.990;0.992;0.999
asymetric_50_abstain;1.000;0.057;0.025;0.001;0.000;0.000
asymetric_200_abstain;1.000;0.063;0.028;0.002;0.001;0.001
asymetric_1000_abstain;1.000;0.073;0.040;0.006;0.004;0.002
creditcard cp
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;0.998;0.990;0.990;0.992;0.995;0.998
simple_scaled_1_5;0.998;0.993;0.993;1.000;0.042;0.998
simple_scaled_1_20;1.000;1.000;1.000;1.000;0.031;1.000
simple_scaled_1_100;1.000;1.000;1.000;1.000;0.029;1.000
asymetric_50;0.999;0.990;0.990;0.994;0.997;0.999
asymetric_200;0.907;0.925;0.925;0.953;0.863;0.911
asymetric_1000;0.926;0.986;0.986;0.972;0.928;0.928
random;1.000;0.995;0.995;1.000;1.000;1.000
random_scaled_1_5;0.916;0.933;0.933;0.916;0.961;0.911
random_scaled_1_20;0.999;1.000;1.000;0.622;0.656;0.999
random_scaled_1_100;1.000;1.000;1.000;0.602;1.000;1.000
random_gain;0.995;0.975;0.975;0.999;0.999;0.999
random_gain_scaled_1_5;1.000;0.978;0.978;1.000;1.000;1.000
random_gain_scaled_1_20;0.995;0.984;0.984;0.988;1.000;1.000
random_gain_scaled_1_100;0.993;0.979;0.979;0.999;0.994;0.993
asymetric_50_abstain;1.000;0.002;0.002;1.000;0.000;0.000
asymetric_200_abstain;1.000;0.002;0.002;1.000;0.000;0.000
asymetric_1000_abstain;1.000;0.005;0.005;0.999;1.000;0.001
creditcard rf
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;0.991;0.988;0.988;1.000;0.991;0.991
simple_scaled_1_5;0.949;0.996;0.996;0.996;0.971;0.949
simple_scaled_1_20;0.996;0.996;0.996;0.996;0.988;0.988
simple_scaled_1_100;0.999;0.999;0.999;0.999;0.999;0.999
asymetric_50;1.000;0.995;0.995;1.000;1.000;0.998
asymetric_200;0.989;0.989;0.989;0.989;0.989;0.964
asymetric_1000;0.965;0.962;0.962;0.965;0.957;0.962
random;1.000;0.990;0.990;1.000;1.000;0.998
random_scaled_1_5;0.995;0.990;0.990;0.990;0.990;0.978
random_scaled_1_20;1.000;1.000;1.000;1.000;1.000;1.000
random_scaled_1_100;0.998;0.999;0.999;0.999;0.951;0.998
random_gain;0.987;0.999;0.999;0.997;0.997;0.997
random_gain_scaled_1_5;0.996;0.987;0.987;1.000;0.996;1.000
random_gain_scaled_1_20;1.000;0.988;0.988;1.000;1.000;0.997
random_gain_scaled_1_100;0.988;0.995;0.995;0.988;0.988;0.994
asymetric_50_abstain;0.999;0.001;0.001;0.000;0.000;0.000
asymetric_200_abstain;0.999;0.003;0.003;0.000;0.000;0.000
asymetric_1000_abstain;0.999;0.007;0.007;0.000;0.000;0.999
bankadditional cp
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;0.993;0.893;0.965;0.993;0.992;0.993
simple_scaled_1_5;0.991;0.994;0.956;0.495;0.494;0.995
simple_scaled_1_20;0.995;0.957;0.957;0.993;0.000;0.995
simple_scaled_1_100;0.999;0.997;0.997;0.972;0.000;0.998
asymetric_50;0.996;0.888;0.962;0.995;0.994;0.996
asymetric_200;0.992;0.972;0.997;0.879;0.879;0.992
asymetric_1000;0.990;0.971;0.997;0.878;0.878;0.992
random;1.000;0.853;0.935;1.000;1.000;1.000
random_scaled_1_5;0.991;0.973;0.997;0.873;0.873;0.991
random_scaled_1_20;0.982;0.962;0.995;0.992;0.000;0.981
random_scaled_1_100;0.999;1.000;1.000;0.978;0.000;0.999
random_gain;0.992;0.885;0.990;0.999;0.998;0.998
random_gain_scaled_1_5;0.992;0.886;0.945;0.999;0.999;0.999
random_gain_scaled_1_20;0.993;0.878;0.990;0.999;0.999;0.999
random_gain_scaled_1_100;0.990;0.883;0.989;0.999;0.998;0.998
asymetric_50_abstain;1.000;0.072;0.000;0.000;0.000;0.000
asymetric_200_abstain;1.000;0.075;0.000;0.000;0.000;0.000
asymetric_1000_abstain;1.000;0.086;0.000;0.000;0.000;0.000
bankadditional rf
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;0.998;0.914;0.958;1.000;0.998;0.999
simple_scaled_1_5;0.999;0.989;0.981;0.949;0.999;1.000
simple_scaled_1_20;0.995;0.994;0.995;0.995;0.991;0.995
simple_scaled_1_100;1.000;0.998;0.998;0.998;0.993;0.993
asymetric_50;1.000;0.914;0.955;0.995;1.000;0.996
asymetric_200;0.997;0.974;0.998;0.989;0.996;0.999
asymetric_1000;0.994;0.954;0.983;0.994;0.988;0.988
random;1.000;0.870;0.916;0.991;1.000;0.998
random_scaled_1_5;0.996;0.960;0.992;0.999;0.996;0.995
random_scaled_1_20;0.988;0.988;0.986;0.998;0.988;0.993
random_scaled_1_100;0.982;0.982;0.982;0.973;0.991;1.000
random_gain;0.998;0.909;0.947;0.996;0.998;0.995
random_gain_scaled_1_5;0.996;0.904;0.945;0.999;0.996;0.996
random_gain_scaled_1_20;0.998;0.896;0.936;0.994;0.998;0.996
random_gain_scaled_1_100;0.997;0.902;0.941;0.998;0.997;0.997
asymetric_50_abstain;1.000;0.051;0.031;0.001;0.000;0.000
asymetric_200_abstain;1.000;0.056;0.035;0.002;0.000;0.000
asymetric_1000_abstain;1.000;0.068;0.047;0.005;0.000;0.003
usps cp
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;0.989;0.948;0.989;0.989;0.989;0.989
simple_scaled_1_5;0.999;0.972;0.989;0.897;0.971;0.897
simple_scaled_1_20;1.000;0.977;0.924;0.966;0.971;0.443
simple_scaled_1_100;0.969;0.990;0.990;0.991;0.997;0.981
asymetric_50;0.980;0.956;0.979;0.980;0.980;0.980
asymetric_200;0.987;0.950;0.994;0.987;0.987;0.987
asymetric_1000;0.992;0.945;0.994;0.992;0.992;0.992
random;0.995;0.942;0.987;0.995;0.995;0.995
random_scaled_1_5;0.981;0.963;0.993;0.958;0.991;0.958
random_scaled_1_20;0.990;0.977;0.985;0.992;0.968;0.773
random_scaled_1_100;0.948;0.978;0.947;0.978;0.966;0.942
random_gain;0.998;0.955;0.991;0.998;0.998;0.998
random_gain_scaled_1_5;0.990;0.956;0.995;0.990;1.000;0.990
random_gain_scaled_1_20;0.993;0.954;0.989;0.992;1.000;0.993
random_gain_scaled_1_100;0.995;0.962;0.994;0.995;0.995;0.995
asymetric_50_abstain;1.000;0.005;0.001;1.000;0.000;0.998
asymetric_200_abstain;1.000;0.001;0.005;1.000;0.004;0.997
asymetric_1000_abstain;1.000;0.696;0.802;1.000;0.824;0.996
usps rf
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;0.997;1.000;1.000;0.998;0.997;0.997
simple_scaled_1_5;0.999;0.999;0.999;0.999;0.999;0.999
simple_scaled_1_20;0.983;0.973;0.929;1.000;1.000;0.983
simple_scaled_1_100;1.000;0.963;0.963;1.000;0.993;1.000
asymetric_50;0.996;0.998;0.998;0.993;0.996;0.996
asymetric_200;0.999;1.000;1.000;0.997;0.999;1.000
asymetric_1000;0.999;1.000;1.000;0.994;0.999;0.994
random;1.000;1.000;1.000;1.000;1.000;1.000
random_scaled_1_5;0.986;0.994;0.994;0.976;0.978;0.984
random_scaled_1_20;0.981;0.988;0.976;0.988;0.981;0.988
random_scaled_1_100;0.895;0.929;0.929;1.000;0.883;0.890
random_gain;0.996;1.000;1.000;0.994;0.993;0.996
random_gain_scaled_1_5;0.997;0.998;0.998;1.000;0.997;0.997
random_gain_scaled_1_20;0.993;0.994;0.996;0.998;0.993;0.993
random_gain_scaled_1_100;0.991;0.999;0.999;0.992;0.992;0.997
asymetric_50_abstain;0.998;0.000;0.000;0.000;0.000;0.000
asymetric_200_abstain;0.997;0.008;0.008;0.005;0.005;0.009
asymetric_1000_abstain;0.996;0.909;0.909;0.885;0.885;0.921
winequality cp
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;0.944;0.948;0.948;0.948;0.958;0.962
simple_scaled_1_5;0.997;0.983;0.983;0.815;0.988;0.003
simple_scaled_1_20;0.962;0.984;0.984;0.962;0.996;0.001
simple_scaled_1_100;0.996;0.984;0.984;0.996;0.996;0.000
asymetric_50;0.917;0.917;0.808;0.917;0.917;0.917
asymetric_200;0.913;0.908;0.900;0.915;0.920;0.927
asymetric_1000;0.944;0.942;0.940;0.937;0.952;0.962
random;0.995;0.995;0.995;0.995;0.995;0.995
random_scaled_1_5;0.999;0.978;0.957;0.978;0.990;0.007
random_scaled_1_20;0.914;0.994;0.994;0.986;0.999;0.999
random_scaled_1_100;0.985;0.993;0.993;0.985;0.997;0.000
random_gain;0.942;0.942;0.902;0.902;0.937;0.565
random_gain_scaled_1_5;0.954;0.978;0.947;0.956;0.972;0.627
random_gain_scaled_1_20;0.964;0.979;0.958;0.970;0.980;0.707
random_gain_scaled_1_100;0.974;0.957;0.934;0.943;0.982;0.592
asymetric_50_abstain;1.000;0.452;0.462;0.504;0.491;0.493
asymetric_200_abstain;1.000;0.518;0.525;0.561;0.560;0.561
asymetric_1000_abstain;1.000;0.921;0.913;0.979;0.979;0.977
winequality rf
;bare;SVR RBF C1;SVR RBF C100;GP [1,2];GP [1e-1,1];GP [1e-3, 1]
simple;0.929;0.914;0.914;0.936;0.936;0.936
simple_scaled_1_5;0.960;0.961;0.961;0.961;0.961;0.960
simple_scaled_1_20;0.993;0.990;0.990;0.990;0.997;0.993
simple_scaled_1_100;1.000;1.000;1.000;0.996;0.999;0.999
asymetric_50;1.000;0.999;0.999;0.989;0.989;0.989
asymetric_200;0.970;0.972;0.972;0.994;0.972;0.968
asymetric_1000;0.957;0.969;0.969;0.974;0.974;0.974
random;1.000;0.991;0.991;1.000;1.000;1.000
random_scaled_1_5;0.987;1.000;1.000;0.968;0.968;0.968
random_scaled_1_20;0.996;0.981;0.981;0.982;0.982;0.990
random_scaled_1_100;0.997;0.998;0.998;1.000;1.000;0.996
random_gain;0.918;0.918;0.918;0.920;0.918;0.923
random_gain_scaled_1_5;0.976;0.978;0.978;0.990;0.976;0.962
random_gain_scaled_1_20;0.971;0.961;0.961;0.959;0.959;0.959
random_gain_scaled_1_100;0.945;0.961;0.961;0.961;0.961;0.984
asymetric_50_abstain;0.997;0.019;0.019;0.019;0.019;0.000
asymetric_200_abstain;0.997;0.022;0.022;0.022;0.022;0.997
asymetric_1000_abstain;0.998;0.082;0.082;0.082;0.082;0.998
